title,isPartOf,pageCount,publicationYear,docSubType
Review Article,The Journal of Modern History,105,2002,book-review
"Smuggling and the ""Internal Economy"" of Nineteenth Century Brazil: The Case of Goiás",The Americas,19,1997,research-article
Review Article,Journal of Marriage and Family,4,2000,book-review
Convergence of Civil War and the Religious Right: Reimagining Somali Women,Signs,25,2007,research-article
"Islamic Law, Gender and Social Change in Post-Abolition Zanzibar",Northeast African Studies,7,2016,book-review
Place‐Based Education in the Standards‐Based Reform Era—Conflict or Complement?,American Journal of Education,22,2005,research-article
Social Action in the Social Studies: From the Ideal to the Real,Theory Into Practice,6,2001,research-article
What Ever Happened to Family History? A Review Article,Comparative Studies in Society and History,11,1991,book-review
Joking Slavery,Africa: Journal of the International African Institute,10,1977,research-article
"The Brazilian Law Student: Background, Habits, Attitudes",Journal of Inter-American Studies,24,1963,research-article
"Pollyanna, or Is the Glass Half Full?",The Annals of the American Academy of Political and Social Science,9,1986,research-article
The Mental Health Value of Special Education,The Annals of the American Academy of Political and Social Science,6,1930,research-article
Erratum:Electricity Demand Growth and the Energy Crisis,Science,1,1972,research-article
Review Article,Africa: Journal of the International African Institute,3,2001,book-review
Institutional Change and Economic Development in Rural America,American Journal of Agricultural Economics,6,1995,research-article
Chinese Plantation Workers and Social Conflict in Peru in the Late Nineteenth Century,Journal of Latin American Studies,40,1989,research-article
School Attendance,Review of Educational Research,8,1933,research-article
Review Article,American Journal of Sociology,3,2006,book-review
An Institutional Training Study (January 1955-January 1956),"The Journal of Criminal Law, Criminology, and Police Science",2,1956,misc
Famine and Population in Fukuoka Domain during the Tokugawa Period,Journal of Japanese Studies,42,1984,research-article
Contrasts and Comparisons from Primitive Society,The Annals of the American Academy of Political and Social Science,6,1932,research-article
The Maryland Study of the American Youth Commission,The Annals of the American Academy of Political and Social Science,10,1937,research-article
Women and the Workplace: Accommodating the Demands of Pregnancy,Columbia Law Review,68,1994,research-article
"Education and Peruanidad: ""Internal"" Colonialism in the Peruvian Highlands",Comparative Education Review,14,1971,research-article
Review Article,Southern Economic Journal,2,1946,book-review
"Conspicuous Benevolence: Liberalism, Public Welfare, and Private Charity in Porfirian Mexico City, 1877-1910",The Americas,32,2001,research-article
Anxieties over Withdrawal from School: Historical Comment,Research Intelligence,3,1975,research-article
The Decoupling of Farm and Household: Differential Consequences of Capitalist Development on Southern Illinois and Third World Family Farms,Comparative Studies in Society and History,30,1988,research-article
Lighting as a Phrase of School Hygiene,Educational Research Bulletin,4,1925,research-article
Women and Social Security: An Applied History Overview,Social Science History,6,1982,research-article
"Slaves, Commoners and Landlords in Bulozi, c. 1875 to 1906",The Journal of African History,16,1979,research-article
"Sociology at Play, or Truth in the Pleasant Disguise of Illusion",Sociological Perspectives,12,2006,research-article
"Gender, Work, and Culture: Why the Industrial Revolution Came Early to England but Late to China",Sociological Perspectives,21,1996,research-article
Review Article,Teaching Sociology,2,1989,book-review
The Evolution of Kinship Care Policy and Practice,The Future of Children,20,2004,research-article
"Considered Affinity: Kinship, Marriage, and Social Class in New France, 1640-1729",Social Science History,26,1990,research-article
Rural Youth: A Case Study in the Rebelliousness of Adolescents,The Annals of the American Academy of Political and Social Science,7,1961,research-article
"The Sanitation Syndrome: Bubonic Plague and Urban Native Policy in the Cape Colony, 1900-1909",The Journal of African History,24,1977,research-article
Life and Death in a Chinese Famine: Infanticide as a Demographic Consequence of the 1935 Yellow River Flood,Comparative Studies in Society and History,49,1991,research-article
"Capitalist Agriculture and Labour Contracting in Northern Peru, 1880-1905",Journal of Latin American Studies,25,1980,research-article
Kikuyu Women and the Harry Thuku Disturbances: Some Uniformities of Female Militancy,Africa: Journal of the International African Institute,38,1989,research-article
Adolescent CIT Use: Paradigm Shifts for Educational and Cultural Practices?,British Journal of Sociology of Education,10,1999,research-article
Review Article,British Educational Research Journal,2,1985,book-review
Race and Class in Colonial Latin America: A Critique,Comparative Studies in Society and History,13,1979,research-article
"Differntial Fecundity, Markets, and Gender Roles",Journal of Political Economy,21,1998,research-article
Life Questions: Memories of Women Civil Rights Leaders,The Journal of African American History,14,2002,research-article
"Black Work, Green Money: Remittances, Ritual, and Domestic Economies in Southern Kyrgyzstan",Slavic Review,27,2012,research-article
The Impact of American Flour Imports on Brazilian Wheat Production: 1808-1822,The Americas,22,1991,research-article
"Eastern Libya, Wadai and the Sanūsīya: A Ṭarīqa and a Trade Route",The Journal of African History,16,1977,research-article
American White Criminal Intelligence,Journal of the American Institute of Criminal Law and Criminology,60,1924,research-article
"""Charity Properly Understood"": Changing Ideas about Poor Relief in Liberal Spain",Comparative Studies in Society and History,20,1991,research-article
"Population, Economy and Domestic Groups: The Kitui Case",Africa: Journal of the International African Institute,13,1983,research-article
Book Reviews,Signs,4,2005,book-review
Review Article,"The Journal of Criminal Law, Criminology, and Police Science",2,1961,book-review
Sources of the Nineteenth Century Atlantic Slave Trade,The Journal of African History,24,1964,research-article
Patterns of Migration and Settlement in Prerevolutionary St. Petersburg: Peasants from Iaroslavl and Tver Provinces,The Russian Review,17,1997,research-article
"Age, Family, and Migration in Nineteenth-Century Black Sea Provinces of the Ottoman Empire",International Journal of Middle East Studies,15,1979,research-article
The First Course,The Public Historian,21,2014,research-article
Department of Public Welfare in the City of New York,The Annals of the American Academy of Political and Social Science,5,1923,research-article
The Organization of Households in Adabraka: Toward a Wider Comparative Perspective,Comparative Studies in Society and History,47,1982,research-article
